Date,Year,Competition,CompetitionSet,Comp.SetDetail,Sport,Discipline,Gender,Class,Phase,Rank,Medal,Team Members,Person/Team,Person,Person First Name,Person Last Name,PersonGender,Team,Nationality,DoB,YoB,Age (days),Age,Country,Country Code,Continent,Result,Sec/Mtr/Pts,Host City,Host Country,Host Continent,# Participants,# Countries,# Continents,World Ranking,Rank Within Country,Is Olympic Discipline,Rank_Clean,Season
2025-02-23,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,12.5km Mass Start,Women,Seniors,,11.0,,No,"Aita Gasparin (SUI, 09 Feb 1994)",Aita Gasparin,Aita,Gasparin,Women,Switzerland,SUI,1994-02-09,,31-014,31.0,Switzerland,SUI,Europe,41:40.7,"2500,70",Lenzerheide,Switzerland,Europe,30,14,1,,1,Yes,11.0,2024/2025
2025-02-23,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,12.5km Mass Start,Women,Seniors,,21.0,,No,"Lena Häcki-Groß (SUI, 01 Jul 1995)",Lena Häcki-Groß,Lena,Häcki-Groß,Women,Switzerland,SUI,1995-07-01,,29-237,29.0,Switzerland,SUI,Europe,42:44.7,"2564,70",Lenzerheide,Switzerland,Europe,30,14,1,,2,Yes,21.0,2024/2025
2025-02-23,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Mass Start,Men,Seniors,,17.0,,No,"Niklas Hartweg (SUI, 01 Mar 2000)",Niklas Hartweg,Niklas,Hartweg,Men,Switzerland,SUI,2000-03-01,,24-359,24.0,Switzerland,SUI,Europe,40:25.3,"2425,30",Lenzerheide,Switzerland,Europe,30,13,2,,1,Yes,17.0,2024/2025
2025-02-23,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Mass Start,Men,Seniors,,25.0,,No,"Sebastian Stalder (SUI, 19 Jan 1998)",Sebastian Stalder,Sebastian,Stalder,Men,Switzerland,SUI,1998-01-19,,27-035,27.0,Switzerland,SUI,Europe,41:12.6,"2472,60",Lenzerheide,Switzerland,Europe,30,13,2,,2,Yes,25.0,2024/2025
2025-02-23,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Mass Start,Men,Seniors,,26.0,,No,"Joscha Burkhalter (SUI, 11 Jul 1996)",Joscha Burkhalter,Joscha,Burkhalter,Men,Switzerland,SUI,1996-07-11,,28-227,28.0,Switzerland,SUI,Europe,41:14.6,"2474,60",Lenzerheide,Switzerland,Europe,30,13,2,,3,Yes,26.0,2024/2025
2025-02-19,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,20km Individual,Men,Seniors,,5.0,,No,"Niklas Hartweg (SUI, 01 Mar 2000)",Niklas Hartweg,Niklas,Hartweg,Men,Switzerland,SUI,2000-03-01,,24-355,24.0,Switzerland,SUI,Europe,50:13.6,"3013,60",Lenzerheide,Switzerland,Europe,97,31,5,,1,Yes,5.0,2024/2025
2025-02-19,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,20km Individual,Men,Seniors,,11.0,,No,"Sebastian Stalder (SUI, 19 Jan 1998)",Sebastian Stalder,Sebastian,Stalder,Men,Switzerland,SUI,1998-01-19,,27-031,27.0,Switzerland,SUI,Europe,51:19.7,"3079,70",Lenzerheide,Switzerland,Europe,97,31,5,,2,Yes,11.0,2024/2025
2025-02-19,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,20km Individual,Men,Seniors,,29.0,,No,"Joscha Burkhalter (SUI, 11 Jul 1996)",Joscha Burkhalter,Joscha,Burkhalter,Men,Switzerland,SUI,1996-07-11,,28-223,28.0,Switzerland,SUI,Europe,53:17.2,"3197,20",Lenzerheide,Switzerland,Europe,97,31,5,,3,Yes,29.0,2024/2025
2025-02-18,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Individual,Women,Seniors,,16.0,,No,"Lena Häcki-Groß (SUI, 01 Jul 1995)",Lena Häcki-Groß,Lena,Häcki-Groß,Women,Switzerland,SUI,1995-07-01,,29-232,29.0,Switzerland,SUI,Europe,44:10.1,"2650,10",Lenzerheide,Switzerland,Europe,93,30,5,,1,Yes,16.0,2024/2025
2025-02-18,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Individual,Women,Seniors,,19.0,,No,"Amy Baserga (SUI, 29 Sep 2000)",Amy Baserga,Amy,Baserga,Women,Switzerland,SUI,2000-09-29,,24-142,24.0,Switzerland,SUI,Europe,44:18.8,"2658,80",Lenzerheide,Switzerland,Europe,93,30,5,,2,Yes,19.0,2024/2025
2025-02-18,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Individual,Women,Seniors,,20.0,,No,"Aita Gasparin (SUI, 09 Feb 1994)",Aita Gasparin,Aita,Gasparin,Women,Switzerland,SUI,1994-02-09,,31-009,31.0,Switzerland,SUI,Europe,44:33.4,"2673,40",Lenzerheide,Switzerland,Europe,93,30,5,,3,Yes,20.0,2024/2025
2025-02-18,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,15km Individual,Women,Seniors,,62.0,,No,"Elisa Gasparin (SUI, 02 Dec 1991)",Elisa Gasparin,Elisa,Gasparin,Women,Switzerland,SUI,1991-12-02,,33-078,33.0,Switzerland,SUI,Europe,48:07.8,"2887,80",Lenzerheide,Switzerland,Europe,93,30,5,,4,Yes,62.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,10km Pursuit,Women,Seniors,,5.0,,No,"Lena Häcki-Groß (SUI, 01 Jul 1995)",Lena Häcki-Groß,Lena,Häcki-Groß,Women,Switzerland,SUI,1995-07-01,,29-230,29.0,Switzerland,SUI,Europe,28:27.2,"1707,20",Lenzerheide,Switzerland,Europe,58,21,2,,1,Yes,5.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,10km Pursuit,Women,Seniors,,21.0,,No,"Aita Gasparin (SUI, 09 Feb 1994)",Aita Gasparin,Aita,Gasparin,Women,Switzerland,SUI,1994-02-09,,31-007,31.0,Switzerland,SUI,Europe,29:51.9,"1791,90",Lenzerheide,Switzerland,Europe,58,21,2,,2,Yes,21.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,10km Pursuit,Women,Seniors,,38.0,,No,"Elisa Gasparin (SUI, 02 Dec 1991)",Elisa Gasparin,Elisa,Gasparin,Women,Switzerland,SUI,1991-12-02,,33-076,33.0,Switzerland,SUI,Europe,31:05.0,"1865,00",Lenzerheide,Switzerland,Europe,58,21,2,,3,Yes,38.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,12.5km Pursuit,Men,Seniors,,18.0,,No,"Niklas Hartweg (SUI, 01 Mar 2000)",Niklas Hartweg,Niklas,Hartweg,Men,Switzerland,SUI,2000-03-01,,24-352,24.0,Switzerland,SUI,Europe,34:56.3,"2096,30",Lenzerheide,Switzerland,Europe,60,21,2,,1,Yes,18.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,12.5km Pursuit,Men,Seniors,,27.0,,No,"Sebastian Stalder (SUI, 19 Jan 1998)",Sebastian Stalder,Sebastian,Stalder,Men,Switzerland,SUI,1998-01-19,,27-028,27.0,Switzerland,SUI,Europe,35:46.5,"2146,50",Lenzerheide,Switzerland,Europe,60,21,2,,2,Yes,27.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,12.5km Pursuit,Men,Seniors,,28.0,,No,"Joscha Burkhalter (SUI, 11 Jul 1996)",Joscha Burkhalter,Joscha,Burkhalter,Men,Switzerland,SUI,1996-07-11,,28-220,28.0,Switzerland,SUI,Europe,35:59.7,"2159,70",Lenzerheide,Switzerland,Europe,60,21,2,,3,Yes,28.0,2024/2025
2025-02-16,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,12.5km Pursuit,Men,Seniors,,,,No,"Jeremy Finello (SUI, 13 May 1992)",Jeremy Finello,Jeremy,Finello,Men,Switzerland,SUI,1992-05-13,,32-279,32.0,Switzerland,SUI,Europe,,,Lenzerheide,Switzerland,Europe,60,21,2,,0,Yes,,2024/2025
2025-02-15,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,10km Sprint,Men,Seniors,,13.0,,No,"Sebastian Stalder (SUI, 19 Jan 1998)",Sebastian Stalder,Sebastian,Stalder,Men,Switzerland,SUI,1998-01-19,,27-027,27.0,Switzerland,SUI,Europe,23:03.0,"1383,00",Lenzerheide,Switzerland,Europe,98,30,5,,1,Yes,13.0,2024/2025
2025-02-15,2025,IBU World Championships,World Championships,IBU World Championships,Biathlon,10km Sprint,Men,Seniors,,19.0,,No,"Niklas Hartweg (SUI, 01 Mar 2000)",Niklas Hartweg,Niklas,Hartweg,Men,Switzerland,SUI,2000-03-01,,24-351,24.0,Switzerland,SUI,Europe,23:24.3,"1404,30",Lenzerheide,Switzerland,Europe,98,30,5,,2,Yes,19.0,2024/2025
